output_mask\input_mask,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
149,0,12,2,-6,-2,-10,0,12,10,-2,-4,4,4,-12,6,-14,-8,12,10,2,-14,-14,-12,0,-14,-2,4,12,0,-8,2,-2,-8,0,6,2,-10,2,4,-4,-6,-6,8,4,-12,8,2,10,8,0,-10,-6,-6,6,-8,8,-6,-6,-8,-4,0,-12,-2,14,-2,-2,8,4,-4,-8,-10,6,0,-8,2,-2,2,6,-12,-12,2,-14,-12,8,4,16,-10,-2,12,-12,6,10,-6,-2,4,-4,2,-10,0,-8,8,0,-10,-6,12,-8,2,-6,-10,-10,12,0,6,2,-4,4,8,-8,-2,2,8,-4,6,-2,-10,-2,-12,8,-6,14,4,4,12,12,6,-6,12,-8,-2,-2,2,-6,-12,8,-10,-6,-8,0,-4,-4,-2,10,8,-12,2,10,-6,-14,-12,-16,-10,6,12,0,0,4,-10,-10,0,8,-2,-14,-2,-6,-4,-4,2,-6,16,4,8,-12,6,6,-4,-4,2,-10,-2,2,4,-12,-4,-4,6,-14,14,-6,8,-8,6,-2,-16,-4,4,8,-2,14,-4,-12,-10,2,-6,14,-12,-12,-2,14,8,4,0,-4,-6,-6,12,0,10,2,14,6,12,16,-2,-6,12,-12,-4,-4,-6,14,-12,8,2,2,10,2,8,-12,-2,-6,12,12,8,-8,6,2
150,0,10,2,-8,14,-8,8,-10,4,-6,2,12,-10,-12,-12,14,2,-4,-4,-6,8,-6,-6,8,-6,0,0,-14,12,2,-14,-4,-12,-2,-6,0,-6,4,-8,6,-4,10,14,0,6,12,-8,-6,-6,12,-8,-2,8,2,14,4,-10,-4,-16,-14,0,-10,10,-12,2,-12,-12,2,0,2,10,-16,-10,-12,4,-10,-8,14,-10,-8,-4,-10,6,-12,2,4,4,2,-4,2,2,-12,-2,4,-12,-2,14,8,4,-6,12,6,10,-8,-2,12,0,2,0,6,2,4,-4,6,-6,-8,-14,4,8,6,-8,6,2,-4,-6,-8,-12,6,8,-6,-2,4,-14,-4,0,6,-12,2,14,8,10,8,4,6,2,-12,-8,-10,-12,6,2,8,2,0,12,14,-8,-2,2,4,4,6,-2,4,14,8,-16,6,12,2,-6,12,2,-8,0,-6,2,12,12,-14,4,-2,6,-12,-2,-4,12,-2,-12,-6,2,4,10,4,-8,-10,4,-10,10,-8,6,-4,-8,-6,-4,2,-2,-8,-12,-10,2,0,6,8,12,2,12,-6,-2,-16,2,-8,4,6,-2,16,0,-10,0,-6,-6,0,-2,-12,-12,-10,-4,2,2,12,12,-2,14,-4,-10,8,0,-10,8,-2,-2,-8,6,-12,-4,6
151,0,-10,6,-4,-14,-4,0,-6,12,10,-10,4,2,-12,12,-2,-6,16,-12,10,-8,2,-6,4,-2,12,4,2,8,10,14,0,16,10,-14,-4,2,0,-12,2,-8,-14,14,-8,-2,12,-4,-6,14,-8,-4,-10,12,10,10,8,-2,-8,-8,2,8,6,10,8,-12,2,2,-8,-2,0,-4,6,0,-2,2,-8,-2,0,8,2,-2,-12,16,-2,4,14,6,-8,-6,0,-8,6,12,-10,-14,-12,-4,6,-2,16,-10,-12,0,-10,-12,6,-6,-12,2,8,8,6,2,-12,16,-6,8,-2,-2,12,-6,-12,-12,6,-4,-6,-10,12,0,2,6,0,-2,4,4,2,12,-2,6,0,-10,12,8,6,2,12,4,6,-4,-6,-2,4,14,8,-4,-2,-4,10,2,8,12,-6,-2,4,-14,4,-4,-10,12,2,-14,0,-2,8,-12,6,-6,0,0,-2,-4,6,-6,-4,-6,8,-4,2,0,2,-14,12,8,2,14,-8,14,-4,-4,10,12,-2,-10,8,-2,-12,8,14,-6,-12,-4,-10,-4,-6,6,4,6,8,-12,6,12,2,-6,0,-12,-14,-2,-4,2,4,-4,-2,12,-6,-6,8,-10,8,12,-2,10,8,-8,6,4,6,2,4,10,8,-12,2,8,10,-6,-4
152,0,12,-8,4,-6,-2,2,-2,-8,-4,-12,0,-10,-14,10,-10,2,-10,2,14,12,8,12,8,-6,-2,6,10,0,-4,-12,8,12,-4,-16,8,-6,-14,6,-2,12,12,12,-4,14,-10,-2,-2,6,6,2,2,-12,-4,8,-8,-10,-2,-10,6,0,0,0,0,2,-10,-14,14,0,-4,-16,12,-6,6,6,2,4,8,8,4,12,0,4,-8,-6,6,-14,6,-4,0,8,-12,-2,-6,2,-2,-10,6,-14,2,16,-8,4,4,6,-10,6,-2,12,4,-4,4,0,8,-12,-12,10,10,-10,-10,-8,-8,8,8,6,-2,6,-10,8,8,12,4,-2,-10,-6,2,12,-4,12,-4,-2,-10,-2,-2,6,-2,-14,-6,-12,-12,8,0,-6,-6,10,2,12,-12,12,4,-8,-4,16,-12,-6,-10,2,-10,-4,-8,-8,-4,-6,-2,14,2,-2,2,-2,-6,-8,-12,-8,-12,-14,6,-2,-14,0,12,-12,-8,10,-6,6,6,4,-4,-8,-8,-2,14,-2,6,-4,-12,12,4,-8,8,-4,-12,-6,2,-10,14,4,12,4,-4,2,-14,-14,10,2,-2,2,6,-16,-12,0,4,6,-6,2,6,8,4,12,0,0,-12,8,-4,6,2,-2,2,-4,0,-8,4,-2,-6,2,-2
153,0,-12,4,4,2,2,14,-6,-12,-4,4,8,-6,6,-6,2,-10,-6,6,6,12,-12,4,8,-10,6,2,-2,8,-12,4,-4,12,8,-4,12,-6,-14,-14,-2,8,0,-4,8,-6,6,-2,-2,10,6,-2,-2,-4,-4,8,12,2,2,-6,-2,0,-4,-8,-8,-4,0,-8,8,10,-6,6,2,0,-16,0,-4,-6,14,2,2,-6,6,-14,10,-4,12,4,0,2,2,-2,10,-8,-12,12,-12,0,-12,16,8,-6,10,10,-2,4,12,0,-4,10,6,14,-2,6,2,10,10,4,4,8,12,-2,6,-2,-6,0,4,8,0,0,12,4,-12,-2,14,-6,14,8,8,8,12,-14,14,-14,-14,-6,-2,10,2,4,4,12,0,6,-10,-14,-10,-12,-8,0,-8,-12,0,12,-12,-10,-10,6,2,12,4,-8,-4,-6,-2,6,-10,-2,2,-6,10,12,12,-16,-4,10,2,10,-2,12,-8,-4,4,-8,12,-12,12,2,-6,-2,-6,-8,8,-8,-4,-10,2,-2,-2,-6,14,2,-6,-16,0,8,-4,6,-2,2,14,-8,4,12,12,-4,8,-12,12,-6,-6,-14,-2,4,4,8,-12,-10,2,2,-6,-2,-6,-6,2,8,0,4,8,2,10,10,-2,-8,-12,8,16
154,0,6,4,-2,14,-12,2,-4,-2,12,10,-4,8,6,4,-10,8,-2,0,-6,6,12,-2,8,-2,4,14,-8,0,6,0,-6,4,14,-4,-6,6,-8,-2,4,14,0,-10,-4,12,6,4,2,16,10,4,2,-6,-4,-2,4,2,12,6,4,-16,2,4,-6,12,-10,-8,-10,-2,8,2,0,-6,-12,-2,-4,-8,2,-12,-14,0,2,-8,-2,-6,12,10,0,14,8,14,12,12,6,-12,2,-12,-6,-12,14,10,-8,2,4,-2,-12,-2,8,0,-2,8,10,-12,2,-8,10,10,0,6,0,-2,4,2,-4,-8,6,-12,6,2,8,-6,4,4,-6,-4,6,-4,-6,-4,14,-14,16,-14,4,2,-8,-2,8,-12,10,0,-6,-4,2,0,-6,10,0,14,-8,10,-4,-2,-12,8,2,12,-6,0,10,-12,2,2,-12,-10,12,-2,-16,-2,4,4,-2,4,2,-12,-10,4,10,6,16,-10,4,-2,-8,-2,12,4,14,12,-6,0,-6,-8,-10,-6,-12,-6,-8,10,-4,-10,12,8,-6,-4,2,-12,-2,-8,6,-2,-8,-6,-8,-6,8,6,8,12,2,0,-6,-8,6,-12,-10,14,4,2,12,-14,-8,2,12,-12,2,12,14,8,6,-8,10,6,12,-2,-8
155,0,10,0,2,6,-4,-2,4,-2,4,-10,12,8,2,8,10,4,-2,-4,-10,14,-4,-2,-12,-2,-4,6,12,4,14,4,-2,-4,6,0,-14,-2,-4,2,0,6,-4,10,0,-4,-2,0,-6,4,-10,0,2,-14,-16,-2,-12,-6,16,14,-4,-12,-2,8,-14,-6,8,10,-8,12,6,-12,6,-8,2,0,-14,-2,12,-2,12,2,8,2,0,0,-6,8,2,4,-2,-12,-2,-2,-12,6,-12,2,-8,14,-12,-8,2,-12,6,-12,6,0,10,-2,12,10,8,-2,-12,10,8,-8,-6,-12,6,-12,14,-8,-14,10,8,-2,4,2,-16,2,8,12,-2,12,-2,-12,-10,4,6,-6,-8,-6,0,6,-4,-2,-12,4,6,-4,-10,4,6,4,-2,6,-4,6,12,-10,4,2,8,4,-2,-8,-14,4,-10,8,-6,-2,4,10,-8,6,-12,-6,8,16,2,-4,6,-16,10,-12,6,14,4,-6,0,-8,10,8,-6,14,4,-2,-4,-6,0,-6,-8,12,-2,12,-2,-8,-6,-8,-14,10,-8,-6,-8,14,12,-10,-12,-12,-10,-4,-10,0,10,-12,-2,-14,8,-2,-4,-10,-12,2,-8,4,6,-8,-6,-4,-2,0,-6,2,8,-2,-12,6,-12,-6,8,0,-6,12,-2
156,0,-12,0,-12,12,8,4,0,-10,-2,-6,2,-6,-6,14,-2,-6,10,2,2,2,-6,2,10,4,8,8,12,4,0,-8,4,2,-2,6,-14,2,-10,14,-14,-12,-4,4,12,-12,4,4,4,4,-4,8,0,-8,8,-12,4,-6,-2,2,6,-2,10,-10,-14,12,-12,4,4,16,0,0,-8,6,2,10,-2,-6,-2,-2,-6,-10,2,-2,-14,-2,-14,14,-6,4,4,16,8,12,-12,8,8,10,10,-2,6,10,2,-10,6,8,-12,0,4,0,4,-8,-12,4,8,0,-4,0,-4,-12,-8,6,-10,-2,6,-6,2,-14,-14,6,-14,2,-10,-2,10,-6,-2,4,-4,12,12,12,-12,-4,12,4,12,8,-8,-8,0,-4,-4,6,10,-2,-6,-6,14,-6,6,-4,-16,-4,8,-8,12,-8,-12,-2,6,2,-14,-14,10,-2,-2,-6,10,-6,2,10,-6,-6,-14,0,-12,12,-8,8,12,12,8,-6,-6,-10,-10,2,2,-2,-2,-4,-8,-4,-8,-4,-8,-12,0,-8,12,4,-8,4,-8,0,-12,-2,-2,-10,6,2,2,2,2,-12,12,12,-12,-8,-16,0,8,2,-2,6,2,6,2,-14,-2,-6,6,-6,-10,-6,6,10,6,12,12,0,-16,-4,-4,-8,-8
157,0,12,-12,12,12,12,0,4,-6,-2,-6,2,-10,6,14,-6,10,-14,2,14,6,-6,-2,-2,12,12,0,12,-8,12,4,12,-6,10,2,-2,2,6,2,10,-8,8,-12,8,8,4,-12,12,4,8,0,8,4,-12,-8,-12,10,-2,-6,-6,2,10,2,-2,6,6,10,6,-6,-2,-10,-2,4,-12,12,0,0,12,-8,-16,8,-4,8,0,-12,4,-4,8,-2,-14,-14,2,2,-6,-10,2,4,-8,-4,12,-12,12,12,8,6,2,-6,-6,6,-2,-14,-10,6,6,10,14,6,2,-6,-14,0,8,0,4,16,-4,-8,-8,10,10,-10,-6,2,6,14,-2,4,12,12,0,4,-8,-12,-4,-8,-4,8,-8,0,0,-16,-12,2,-2,-2,-2,-14,2,-10,2,12,-8,-4,-4,0,16,-8,4,2,14,-10,-2,6,-2,10,6,-6,-14,14,2,6,-6,2,10,0,-8,-8,4,12,-8,-12,12,4,-8,8,0,-4,4,-8,-4,-6,-2,2,2,2,2,10,-2,-14,-14,2,-2,-14,-2,10,-6,8,-8,12,0,8,-4,-4,-4,10,-6,2,6,-2,2,6,-10,-4,4,-16,4,-8,-4,4,12,8,12,12,-4,-4,12,0,4,-6,6,-6,-6,-10,6,-2,10
158,0,-2,4,-2,-12,10,8,2,-12,-2,-8,-10,8,10,12,-6,-4,14,-12,-6,-4,6,4,-6,-4,-6,-12,-2,-4,2,4,-2,-2,-4,6,8,6,4,6,16,2,12,2,8,2,-4,-6,8,6,0,2,-8,-6,-12,-2,12,-10,-4,-6,-12,2,8,-2,0,-10,-4,-6,-4,-6,8,6,8,-10,0,10,8,10,-4,-10,4,6,8,-2,-12,-10,0,6,12,2,8,-6,12,-14,16,2,4,12,2,12,-10,4,10,-12,6,4,14,12,2,-12,-2,12,10,0,-6,4,10,-12,-2,8,6,4,-14,16,2,0,-2,12,6,0,2,0,-2,0,2,0,6,12,-6,-4,-2,4,2,-12,-2,-4,2,16,-6,0,6,-12,-10,-4,14,0,14,-8,10,12,2,-14,12,6,4,-10,8,2,0,14,-12,-6,-4,2,0,-10,8,-14,8,10,12,10,-8,10,-4,-14,-12,-14,-8,-6,4,2,-8,6,-8,-2,12,-2,0,-2,-12,6,-4,-2,8,6,-4,6,-8,-2,-4,-6,-4,-6,8,14,8,-14,-12,-2,-4,6,-8,-6,0,8,2,12,-6,-12,-10,-8,6,16,-2,-4,-10,12,2,8,-14,12,10,-12,14,-4,2,4,14,8,-6,-8,-2,-8,2,8,-2
159,0,-6,-8,-14,-4,2,12,2,12,14,4,-10,8,-2,-8,14,-4,2,-12,-6,8,2,-8,2,16,-2,0,-2,12,-10,4,14,-2,-4,-6,0,-10,-8,10,4,2,-8,-10,-12,2,-12,-2,8,-2,-8,2,4,6,12,2,0,-6,-4,14,-8,-6,0,6,4,-4,6,4,-10,-8,-2,-8,6,-12,-10,12,-10,0,-10,0,-2,12,-6,-12,-6,8,-6,-8,2,12,2,12,-6,-8,10,0,10,2,0,-2,-4,-14,4,6,-8,2,8,6,-4,10,12,6,-8,-10,8,10,12,6,-12,2,0,-2,-8,2,-4,6,4,2,0,-4,-10,4,-2,4,-6,-4,2,8,2,8,2,-8,-10,-8,6,8,6,0,14,-8,-6,0,2,-4,-6,-12,2,-12,-2,-4,6,-14,-16,-2,-12,-10,8,2,-4,-10,4,-14,8,-6,-12,-10,8,2,-12,6,0,-2,12,2,8,-2,-16,-6,4,-6,0,6,-12,-12,6,4,14,4,2,-12,10,12,14,4,14,-12,-6,12,-6,-12,2,-12,-6,12,14,-4,-10,4,-14,4,-6,4,-2,4,6,2,8,-10,-4,6,-16,10,-12,-14,-8,6,12,6,-8,-6,12,6,-8,2,-12,2,0,-2,-4,14,0,2,-12,10,-16,-2,4
160,0,14,-4,-10,-12,6,0,6,0,-2,-4,-2,-8,2,4,10,-2,4,2,-12,6,-8,-6,16,-2,4,-14,12,-6,4,14,-12,-2,-8,-2,12,-10,-12,-2,8,10,-12,2,-8,-2,-12,14,-8,-4,-2,-12,-6,8,6,-8,2,-8,10,-8,-10,0,6,-8,2,-14,4,2,-8,-2,12,6,0,-6,4,-6,0,-6,-8,2,-12,-8,10,-8,14,-8,-2,0,2,8,2,-8,-2,12,2,4,14,0,6,4,6,8,-6,-4,2,-4,10,8,10,16,2,12,-6,14,4,2,4,-6,4,-2,-4,2,0,-2,16,-6,-12,-10,-4,14,12,-6,4,6,0,2,-16,14,4,-6,-12,-6,4,6,12,8,6,-12,-2,12,14,-8,-2,0,-10,-4,6,8,10,4,2,0,-6,0,-2,12,-14,-12,-10,-12,6,12,-6,12,2,12,6,-6,-12,10,-8,2,0,-6,-12,6,8,-2,-4,-6,8,10,12,-4,14,-12,10,12,2,-4,-2,-12,6,12,-6,-8,-10,8,-6,-10,0,6,-12,2,8,10,12,-2,8,14,4,14,12,6,-8,-2,4,10,-4,-6,4,-10,4,-14,8,-10,-16,-6,-4,-2,12,0,-2,4,-2,-8,2,-4,10,4,2,0,2,8,10,4,2
161,0,10,-12,-2,8,2,-4,-10,-12,2,-8,-10,0,-2,-12,2,2,-4,-6,12,2,-4,10,-4,2,0,2,-8,-10,-12,6,-4,10,-4,2,-4,-10,-8,-2,-8,2,-8,2,0,-6,0,10,8,-12,-2,-8,-14,8,2,12,6,8,-10,-4,10,8,6,12,-6,12,2,-12,-6,12,-6,4,2,0,-6,-8,2,4,-10,-4,-2,6,-12,-6,0,-2,4,2,0,14,-16,-6,4,-6,-12,-10,-8,6,12,-6,8,10,-8,-2,4,-2,8,-6,-4,-2,16,-6,-12,8,14,0,6,-12,-14,12,-6,4,-2,-4,-10,12,-2,-12,-10,14,-4,6,4,10,8,-6,8,-6,12,-6,-4,-6,-4,-14,4,-12,-14,-8,-2,0,-2,-4,2,-4,14,16,-6,12,-2,8,-14,-8,-10,-12,10,8,-10,12,2,0,2,12,-10,12,-2,-16,-6,-2,-12,-2,-12,-2,4,6,-4,-14,-4,-6,4,-2,-8,14,-8,10,4,-2,8,-2,0,-6,12,-2,-4,10,8,6,12,-6,0,-8,-6,0,-6,-4,6,-4,-2,0,6,-8,-10,-8,6,-8,-2,-4,-2,-4,6,-12,14,12,-2,12,-14,12,-6,0,-2,8,-2,-6,12,-10,8,2,-4,6,16,14,4,-14,-8,2,0,14,12
162,0,-8,8,0,-4,0,12,0,-10,6,-6,-6,6,-6,-6,-2,4,-12,8,-16,12,0,8,4,10,2,2,2,6,-6,-2,-6,2,-2,6,2,-14,2,14,-2,0,-4,-8,-12,12,4,4,12,-6,-10,2,6,-2,-10,-2,-2,-8,-12,-4,0,-8,-8,-4,-12,-12,-4,0,-8,-8,4,12,-8,10,-6,10,-6,-6,6,10,-10,-12,-4,-4,12,12,0,-4,8,-14,-14,6,-2,-10,-6,-6,-10,-14,6,-6,-2,10,-6,-6,-6,8,12,12,0,4,12,-8,0,-2,-6,10,-2,-14,2,-10,-2,-4,8,12,16,-12,-4,4,-12,-8,4,8,12,8,-8,8,-16,-2,2,-14,-2,-14,-14,14,6,-12,0,8,4,16,-8,-12,12,10,-2,10,-2,-6,2,2,-6,6,-2,2,2,10,-2,6,-14,4,12,-4,12,-12,0,4,-8,6,6,-2,14,-2,2,6,10,-12,4,0,0,8,4,-4,8,0,4,-4,8,8,-8,4,-4,-2,-6,-10,10,2,2,-14,-6,-8,4,-8,4,4,4,-12,-12,-2,-14,2,6,-10,-10,2,2,10,-14,2,2,6,2,-2,2,8,0,4,-12,-8,12,12,-8,14,6,2,-6,-10,-6,10,-2,4,12,-12,-4,-16,12,-8,-12
163,0,0,-8,4,8,-8,8,-4,-2,2,10,2,2,6,-2,14,16,8,0,-12,8,0,0,-4,2,-2,6,6,6,2,-6,2,-2,-10,2,-10,-6,10,-2,-14,-4,0,12,-12,12,8,4,12,-6,-6,6,2,14,6,-6,6,-4,8,-12,4,-12,8,-12,4,-6,-6,-2,2,-6,2,-2,2,-16,-4,0,8,-12,8,-4,4,14,14,-6,-2,-10,-2,-14,6,-16,12,8,0,12,0,12,4,-4,-4,-12,8,-8,-8,-8,-12,-14,-10,-2,14,10,-2,-10,-2,-4,12,12,0,-8,-8,0,-4,-2,2,2,2,6,-6,-6,2,8,0,4,0,-12,12,8,12,14,2,-2,14,6,-6,6,-2,8,-8,4,8,4,4,8,-12,-6,6,10,2,-14,-2,2,-14,-2,14,6,10,-2,-10,-10,-6,-12,-8,-8,8,8,4,-12,-12,-14,-6,10,6,10,-6,2,14,4,0,-8,0,0,4,12,4,10,-6,10,6,-2,-10,-2,10,-8,-4,4,-4,0,-4,-12,12,6,-10,6,2,2,-6,2,-2,-8,12,4,12,-8,-12,12,-12,-4,-4,-16,12,-4,-4,-8,12,10,6,2,2,6,2,14,6,12,12,-16,-4,12,-4,-8,-4,-2,10,6,6,10,-10,2,10
164,0,-6,12,2,14,-4,10,4,2,-8,-10,8,8,-6,-4,10,6,4,-6,12,-4,6,16,-2,12,-2,8,14,2,8,-2,-8,8,-6,0,-2,2,8,-6,12,-6,8,-14,-4,-4,6,-12,10,-2,-4,-10,8,-8,2,0,-2,4,6,-4,2,-2,-12,-10,0,-12,-10,-12,-6,-2,12,6,-8,2,8,10,-12,-12,-2,4,2,2,0,-6,-12,12,-2,12,-6,4,-2,4,-6,-2,4,-10,8,-8,-14,12,-6,6,-4,2,-4,-10,-12,10,12,12,-2,-8,14,-2,12,-14,-4,4,-10,0,-2,0,-6,-12,-6,6,-4,2,4,4,10,8,-6,14,-8,2,-8,2,-4,-2,4,4,10,0,2,-2,0,2,-8,0,-2,-12,6,-8,6,4,6,-6,12,-10,12,-16,-2,8,2,-2,0,6,4,6,8,14,12,12,10,4,-2,2,4,2,8,0,14,-16,-14,-12,-14,-12,6,2,-12,2,8,4,-6,-4,-10,2,4,-14,8,14,0,14,4,-12,10,12,6,6,0,-2,4,-12,2,-12,-2,-4,10,12,6,-6,-12,2,8,-12,-14,8,10,-2,8,-6,8,-10,16,10,-8,-8,-10,4,6,-10,0,2,8,8,6,12,6,4,-14,0,-6,6,0,-6,16
165,0,-2,-4,-6,-6,0,6,4,-2,-12,2,0,8,-10,-4,10,-2,0,6,8,-12,14,-4,-2,-12,-10,-4,6,2,-4,-6,4,-4,6,-12,-2,-14,-12,2,12,-6,-4,-14,-4,0,10,0,-6,10,8,14,-4,-12,-6,16,-2,0,-2,12,2,-14,-8,-10,12,6,-4,-2,-12,4,10,-4,10,-8,6,-8,-2,6,-12,6,-12,-12,-10,8,-6,6,-8,-6,-12,-2,-16,-14,12,8,10,12,14,6,-8,-6,12,0,2,12,6,0,-6,-12,6,10,4,6,-16,4,2,4,2,-6,8,2,-8,-10,-12,-2,-12,-12,2,4,-14,-8,-2,8,-2,-2,4,6,4,10,8,-6,0,0,-2,8,-10,10,-12,14,-8,12,6,8,-6,-12,-2,16,-14,-2,8,2,-4,-12,-2,8,2,-2,-8,2,4,-2,0,-6,4,-8,10,-12,6,6,4,14,-4,4,2,12,2,8,6,0,6,-2,12,-10,-12,-2,4,-6,-16,0,-2,-12,-6,-4,-6,8,-2,14,4,-14,-8,-8,-6,-8,10,-2,-8,6,-8,14,0,-10,0,-4,-10,-4,-10,-2,-8,14,-8,4,-10,-12,-2,-4,-2,4,-2,-14,12,10,4,8,-2,12,2,-6,8,-2,4,-2,-12,2,0,8,6,12,10
166,0,4,8,-12,-6,2,-14,-6,8,-8,-4,-4,-6,6,-10,-6,-8,0,-4,12,2,-10,-10,-6,-12,16,12,8,-2,14,-2,6,8,4,12,-8,-2,6,-6,-6,12,-4,-12,-4,-6,-2,-14,6,12,-4,12,-4,-14,-10,10,6,4,0,0,-12,10,-14,-10,-2,-10,-10,-6,-14,4,0,8,4,10,-10,-14,-2,-8,-8,-8,-16,-6,6,2,6,-8,-8,-16,0,2,2,6,-10,8,4,-12,8,6,-2,-2,6,0,12,0,-12,6,2,10,-2,0,-8,4,-4,-2,2,-6,-2,-8,8,12,4,2,2,-14,10,4,8,4,-8,-2,-14,-2,2,-4,4,-12,4,2,2,6,-2,-8,-12,12,8,6,-10,-6,10,12,-8,8,-4,-2,-14,-2,10,-12,-4,-12,12,2,6,-10,2,-12,4,-8,-8,-14,-6,2,-6,12,-8,4,-8,14,-2,-10,14,-8,-4,0,4,2,-2,-2,-6,12,4,0,0,16,0,12,12,-6,6,-2,2,8,-12,0,4,2,-14,-6,-6,12,0,4,-8,-2,6,-2,-2,8,16,-12,-12,2,-10,14,2,4,4,12,4,2,6,10,-2,8,12,-12,-8,6,6,10,-14,-4,0,0,-4,2,2,6,6,4,-12,-12,-12,2,-10,10,6
167,0,12,0,-16,-10,2,6,6,8,-12,12,12,-10,2,2,-14,0,-8,-16,-12,-6,2,-6,-2,-8,8,12,8,2,2,-2,-6,12,12,8,-12,-2,-10,-6,-2,0,8,-8,12,-6,10,10,6,-8,12,-4,-12,-2,-6,-14,-14,12,0,12,-12,-14,-2,-6,-6,-4,12,-8,4,-2,6,2,6,-8,0,0,4,10,-6,2,14,8,-4,12,-12,-2,10,-6,-6,4,-8,4,-4,2,-2,2,2,-16,4,8,16,6,-6,-10,14,0,-12,12,4,6,-6,-14,-6,-8,8,16,-4,-14,2,2,-2,8,0,4,-8,10,2,6,10,2,10,-2,2,-4,12,8,4,-2,14,-2,10,0,-8,8,12,-14,6,-10,-2,-8,4,-4,12,6,10,-2,6,12,8,-4,12,6,2,-10,-10,4,0,4,4,-2,-6,-6,10,-12,0,-8,-8,2,2,2,14,12,-4,-4,-8,2,10,-2,-14,-4,4,0,-12,-2,10,6,6,-4,-8,12,-4,14,10,2,2,-4,-8,0,0,-6,10,-14,-2,4,4,4,0,2,-6,6,-6,-12,12,8,-4,10,-6,-10,-14,4,12,-8,-4,14,6,-2,2,-8,8,-8,4,2,-2,6,6,8,-4,4,12,-2,-6,6,-10,12,0,-12,12
168,0,-6,-2,4,-10,4,12,14,4,-10,6,-4,2,-8,4,-10,8,-2,-6,-4,-10,0,0,-2,12,-6,2,4,-6,-4,16,-2,-12,2,14,8,-6,4,12,10,8,6,6,8,-10,0,-12,-6,-12,-2,-14,-8,2,8,8,-14,8,2,-6,-8,-10,12,-8,10,-10,-4,-8,2,4,-10,-2,-4,14,-4,-12,14,-12,14,-6,-8,2,-4,0,-2,8,-2,-2,0,-6,-4,12,10,16,-2,2,4,2,12,-8,-10,0,-2,-2,-8,-14,12,12,2,-8,6,2,4,6,-12,-8,10,12,-2,-10,-12,6,4,-4,-10,12,-2,2,8,6,-12,12,-2,-8,2,6,12,-6,8,-4,-10,-12,-2,6,4,2,4,12,2,12,-6,14,8,6,8,12,-6,0,-2,6,-8,2,-4,4,-14,-4,-6,6,-16,6,-8,-12,2,8,-2,6,0,-2,-4,-12,6,0,-14,-2,-4,-14,8,4,6,4,-2,6,-12,0,-14,-14,0,2,8,12,6,0,2,-2,-12,-6,0,-8,-6,-8,-10,-10,0,2,-12,8,-2,-8,6,-14,-12,2,4,12,10,-4,-6,2,-4,-10,-16,4,-14,-12,10,-10,0,-10,-8,8,6,-12,-2,6,12,6,12,0,-6,-4,-2,10,-16,-2,-4,-4,6
169,0,14,14,12,-2,-4,12,10,0,-6,-6,4,6,8,-8,-6,4,-2,2,4,-2,-16,12,6,-8,-2,10,8,2,-8,-4,10,12,-6,-2,-4,-6,0,-12,-6,4,6,2,4,10,-4,8,10,8,10,2,-4,2,4,-12,14,-12,-6,2,0,14,12,12,2,4,-2,14,-8,2,4,-12,-10,0,-2,-10,4,-10,-12,-4,-6,-12,-14,6,-4,-2,-4,8,-2,-12,6,10,4,-2,8,-12,6,8,2,6,0,14,-8,12,6,12,-14,-10,12,-6,8,12,-6,8,-2,-10,4,-6,-8,-8,14,0,2,-14,12,2,4,12,6,2,0,4,10,12,-6,6,-4,-6,4,-8,10,12,-2,-6,-12,2,12,4,-2,8,-6,2,-12,6,-4,-4,-14,-4,-14,2,8,2,0,-8,-2,4,10,-6,8,2,-12,-12,-2,12,-2,-10,0,-6,12,-8,10,8,-6,6,8,-10,12,8,-2,-12,2,-2,-4,-10,8,-4,6,8,2,-2,16,-6,16,12,-6,4,-6,14,-4,2,-8,-16,-10,0,6,-2,4,-14,-4,-12,-2,-16,2,10,12,-2,0,-8,2,0,2,2,12,-6,8,0,6,-12,-6,10,8,10,8,4,-14,-8,-2,-6,0,-14,-4,0,-6,0,10,-2,8
